Item_ID,Item_Weight,Item_Fat_Content,Item_Type,Item_MRP,Outlet_Identifier,Yrs_since_inception,Outlet_Size,Outlet_Location_Type,Outlet_Type,sales,Number_of_units_sold
4525,9.3,Low Fat,Dairy,249.8092,OUT049,17,Medium,Tier 1,Supermarket Type1,3735.138,15
4526,5.92,Regular,Soft Drinks,48.2692,OUT018,7,Medium,Tier 3,Supermarket Type2,443.4228,9
4527,17.5,Low Fat,Meat,141.618,OUT049,17,Medium,Tier 1,Supermarket Type1,2097.27,15
4528,19.2,Regular,Fruits and Vegetables,182.095,OUT010,18,Medium,Tier 3,Grocery Store,732.38,4
4529,8.93,Low Fat,Household,53.8614,OUT013,29,High,Tier 3,Supermarket Type1,994.7052,18
4530,10.395,Regular,Baking Goods,51.4008,OUT018,7,Medium,Tier 3,Supermarket Type2,556.6088,11
4531,13.65,Regular,Snack Foods,57.6588,OUT013,29,High,Tier 3,Supermarket Type1,343.5528,6
4532,16.2,Regular,Frozen Foods,96.9726,OUT045,14,Medium,Tier 2,Supermarket Type1,1076.5986,11
4533,19.2,Regular,Frozen Foods,187.8214,OUT017,9,Medium,Tier 2,Supermarket Type1,4710.535,25
4534,11.8,Low Fat,Fruits and Vegetables,45.5402,OUT049,17,Medium,Tier 1,Supermarket Type1,1516.0266,33
4535,18.5,Regular,Dairy,144.1102,OUT046,19,Small,Tier 1,Supermarket Type1,2187.153,15
4536,15.1,Regular,Fruits and Vegetables,145.4786,OUT049,17,Medium,Tier 1,Supermarket Type1,1589.2646,11
4537,17.6,Regular,Snack Foods,119.6782,OUT046,19,Small,Tier 1,Supermarket Type1,2145.2076,18
4538,16.35,Low Fat,Fruits and Vegetables,196.4426,OUT013,29,High,Tier 3,Supermarket Type1,1977.426,10
4539,9,Regular,Breakfast,56.3614,OUT046,19,Small,Tier 1,Supermarket Type1,1547.3192,27
4540,11.8,Low Fat,Health and Hygiene,115.3492,OUT018,7,Medium,Tier 3,Supermarket Type2,1621.8888,14
4541,9,Regular,Breakfast,54.3614,OUT049,17,Medium,Tier 1,Supermarket Type1,718.3982,13
4542,13.35,Low Fat,Dairy,230.5352,OUT035,12,Small,Tier 2,Supermarket Type1,2748.4224,12
4543,18.85,Regular,Snack Foods,250.8724,OUT013,29,High,Tier 3,Supermarket Type1,3775.086,15
4544,14.6,Low Fat,Household,196.5084,OUT035,12,Small,Tier 2,Supermarket Type1,1587.2672,8
4545,13.85,Regular,Frozen Foods,165.021,OUT046,19,Small,Tier 1,Supermarket Type1,4078.025,25
4546,13,Low Fat,Household,45.906,OUT017,9,Medium,Tier 2,Supermarket Type1,838.908,18
4547,7.645,Regular,Snack Foods,42.3112,OUT035,12,Small,Tier 2,Supermarket Type1,1065.28,25
4548,11.65,Low Fat,Hard Drinks,39.1164,OUT013,29,High,Tier 3,Supermarket Type1,308.9312,8
4549,5.925,Regular,Dairy,45.5086,OUT010,18,Medium,Tier 3,Grocery Store,178.4344,4
4550,19.25,Low Fat,Dairy,55.7956,OUT010,18,Medium,Tier 3,Grocery Store,163.7868,3
4551,18.6,Low Fat,Health and Hygiene,96.4436,OUT018,7,Medium,Tier 3,Supermarket Type2,2741.7644,28
4552,18.7,Low Fat,Snack Foods,256.6672,OUT018,7,Medium,Tier 3,Supermarket Type2,3068.0064,12
4553,17.85,Low Fat,Breads,93.1436,OUT045,14,Medium,Tier 2,Supermarket Type1,2174.5028,23
4554,17.5,Low Fat,Soft Drinks,174.8738,OUT046,19,Small,Tier 1,Supermarket Type1,2085.2856,12
4555,10,Low Fat,Health and Hygiene,146.7102,OUT049,17,Medium,Tier 1,Supermarket Type1,3791.0652,26
4556,8.85,Regular,Soft Drinks,122.5388,OUT018,7,Medium,Tier 3,Supermarket Type2,1609.9044,13
4557,13.35,Low Fat,Dairy,230.6352,OUT046,19,Small,Tier 1,Supermarket Type1,3435.528,15
4558,9.8,Low Fat,Meat,126.002,OUT013,29,High,Tier 3,Supermarket Type1,2150.534,17
4559,13.6,Low Fat,Snack Foods,192.9136,OUT049,17,Medium,Tier 1,Supermarket Type1,2527.3768,13
4560,21.35,Low Fat,Canned,259.9278,OUT018,7,Medium,Tier 3,Supermarket Type2,6768.5228,26
4561,12.15,Regular,Canned,126.5046,OUT013,29,High,Tier 3,Supermarket Type1,373.5138,3
4562,6.42,Low Fat,Dairy,178.1002,OUT010,18,Medium,Tier 3,Grocery Store,358.2004,2
4563,19.6,Low Fat,Health and Hygiene,153.3024,OUT045,14,Medium,Tier 2,Supermarket Type1,2428.8384,16
4564,10,Low Fat,Canned,265.2226,OUT045,14,Medium,Tier 2,Supermarket Type1,5815.0972,22
4565,15.85,Regular,Baking Goods,60.622,OUT046,19,Small,Tier 1,Supermarket Type1,2576.646,43
4566,7.39,Low Fat,Health and Hygiene,143.8812,OUT046,19,Small,Tier 1,Supermarket Type1,3134.5864,22
4567,10.195,Low Fat,Frozen Foods,141.5154,OUT013,29,High,Tier 3,Supermarket Type1,850.8924,6
4568,9.895,Regular,Canned,117.0492,OUT013,29,High,Tier 3,Supermarket Type1,810.9444,7
4569,10.895,Low Fat,Fruits and Vegetables,196.3794,OUT017,9,Medium,Tier 2,Supermarket Type1,3121.2704,16
4570,12.15,Low Fat,Household,151.4708,OUT017,9,Medium,Tier 2,Supermarket Type1,4815.0656,32
4571,7.905,Low Fat,Snack Foods,249.0408,OUT018,7,Medium,Tier 3,Supermarket Type2,6258.52,25
4572,9.195,Low Fat,Household,106.1622,OUT045,14,Medium,Tier 2,Supermarket Type1,2117.244,20
4573,8.365,Low Fat,Hard Drinks,38.0506,OUT049,17,Medium,Tier 1,Supermarket Type1,796.9626,21
4574,15.1,Low Fat,Snack Foods,194.511,OUT046,19,Small,Tier 1,Supermarket Type1,4910.275,25
4575,10,Low Fat,Fruits and Vegetables,246.9144,OUT018,7,Medium,Tier 3,Supermarket Type2,3185.1872,13
4576,7.97,Regular,Meat,87.3514,OUT045,14,Medium,Tier 2,Supermarket Type1,1062.6168,12
4577,17.7,Low Fat,Snack Foods,185.4266,OUT010,18,Medium,Tier 3,Grocery Store,184.4266,1
4578,19.35,Low Fat,Meat,172.5738,OUT035,12,Small,Tier 2,Supermarket Type1,4865.6664,28
4579,13.65,Regular,Dairy,186.024,OUT045,14,Medium,Tier 2,Supermarket Type1,1118.544,6
4580,17.6,Low Fat,Soft Drinks,164.8526,OUT045,14,Medium,Tier 2,Supermarket Type1,2302.3364,14
4581,8.645,Low Fat,Health and Hygiene,95.841,OUT046,19,Small,Tier 1,Supermarket Type1,2027.361,21
4582,15.6,Regular,Snack Foods,170.1764,OUT046,19,Small,Tier 1,Supermarket Type1,3435.528,20
4583,15.85,Regular,Baking Goods,59.222,OUT013,29,High,Tier 3,Supermarket Type1,599.22,10
4584,18.25,Low Fat,Starchy Foods,164.7526,OUT045,14,Medium,Tier 2,Supermarket Type1,4604.6728,28
4585,7.855,Low Fat,Canned,189.6188,OUT017,9,Medium,Tier 2,Supermarket Type1,2285.0256,12
4586,7.825,Low Fat,Household,254.3698,OUT049,17,Medium,Tier 1,Supermarket Type1,5580.7356,22
4587,8.39,Regular,Frozen Foods,114.0176,OUT046,19,Small,Tier 1,Supermarket Type1,2290.352,20
4588,12.85,Low Fat,Snack Foods,172.3422,OUT049,17,Medium,Tier 1,Supermarket Type1,1207.0954,7
4589,19,Low Fat,Frozen Foods,104.9622,OUT017,9,Medium,Tier 2,Supermarket Type1,1587.933,15
4590,5.905,Low Fat,Canned,222.5456,OUT045,14,Medium,Tier 2,Supermarket Type1,5305.0944,24
4591,7.76,Low Fat,Snack Foods,101.87,OUT046,19,Small,Tier 1,Supermarket Type1,1697.79,17
4592,11.8,Regular,Frozen Foods,180.3344,OUT046,19,Small,Tier 1,Supermarket Type1,1427.4752,8
4593,16.75,Low Fat,Snack Foods,187.9556,OUT018,7,Medium,Tier 3,Supermarket Type2,4693.89,25
4594,15.5,Regular,Fruits and Vegetables,177.0028,OUT017,9,Medium,Tier 2,Supermarket Type1,2479.4392,14
4595,6.055,Low Fat,Fruits and Vegetables,160.992,OUT035,12,Small,Tier 2,Supermarket Type1,2716.464,17
4596,6.305,Regular,Snack Foods,95.6436,OUT046,19,Small,Tier 1,Supermarket Type1,661.8052,7
4597,20.85,Low Fat,Meat,117.2808,OUT049,17,Medium,Tier 1,Supermarket Type1,1523.3504,13
4598,20.75,Low Fat,Fruits and Vegetables,122.173,OUT010,18,Medium,Tier 3,Grocery Store,369.519,3
4599,8.895,Low Fat,Dairy,39.9138,OUT049,17,Medium,Tier 1,Supermarket Type1,690.4346,17
4600,19.6,Low Fat,Soft Drinks,55.1614,OUT045,14,Medium,Tier 2,Supermarket Type1,1381.535,25
4601,19.7,Low Fat,Fruits and Vegetables,57.893,OUT035,12,Small,Tier 2,Supermarket Type1,622.523,11
4602,9.8,Low Fat,Health and Hygiene,114.5492,OUT035,12,Small,Tier 2,Supermarket Type1,1274.3412,11
4603,12.15,Low Fat,Frozen Foods,246.046,OUT049,17,Medium,Tier 1,Supermarket Type1,1231.73,5
4604,8.75,Regular,Fruits and Vegetables,187.4556,OUT035,12,Small,Tier 2,Supermarket Type1,3755.112,20
4605,8.75,Regular,Fruits and Vegetables,187.8556,OUT046,19,Small,Tier 1,Supermarket Type1,1314.2892,7
4606,13.3,Low Fat,Frozen Foods,151.0708,OUT045,14,Medium,Tier 2,Supermarket Type1,1805.6496,12
